ETSI         ,  48,42.900,  11,32.000,01/01/2002,13:59:00,Ingolstadt-Manching                      ,  366,0
EDBJ         ,  50,54.800,  11,42.800,01/01/2002,13:59:00,Jena-Schöngleina                         ,  380,0
EDMJ         ,  48,10.500,  11, 7.500,01/01/2002,13:59:00,Jesenwang                                ,  567,0
EDWJ         ,  53,40.900,   7, 3.500,01/01/2002,13:59:00,Juist                                    ,    2,0
EDCM         ,  51,17.800,  14, 7.700,01/01/2002,13:59:00,Kamenz                                   ,  151,0
EDLC         ,  51,31.700,   6,32.200,01/01/2002,13:59:00,Kamp-Lintfort                            ,   27,0
EDWK         ,  53,20.100,   9, 1.700,01/01/2002,13:59:00,Karlshöfen                               ,    6,0
EDSB         ,  48,46.800,   8, 4.800,01/01/2002,13:59:00,Karlsruhe/Baden-Baden                    ,  124,0
EDTK         ,  48,58.800,   8,19.900,01/01/2002,13:59:00,Karlsruhe-Forchheim                      ,  116,0
EDVK         ,  51,24.500,   9,22.700,01/01/2002,13:59:00,Kassel                                   ,  277,0
EDSK         ,  48,33.500,   7,51.000,01/01/2002,13:59:00,Kehl-Sundheim                            ,  138,0
EDMK         ,  47,41.600,  10,20.400,01/01/2002,13:59:00,Kempten-Durach                           ,  713,0
EDHK         ,  54,22.800,  10, 8.700,01/01/2002,13:59:00,Kiel-Holtenau                            ,   31,0
EDNK         ,  48,14.300,  12,58.600,01/01/2002,13:59:00,Kirchdorf/Inn                            ,  347,0
EDOM         ,  51,56.900,  11,46.200,01/01/2002,13:59:00,Klein Mühlingen                          ,   52,0
EDCL         ,  52,42.600,  12, 4.400,01/01/2002,13:59:00,Klietz/Scharlibbe                        ,   29,0
EDCI         ,  51,16.400,  14,30.400,01/01/2002,13:59:00,Klix                                     ,  148,0
EDRK         ,  50,19.500,   7,31.600,01/01/2002,13:59:00,Koblenz-Winningen                        ,  195,0
EDDK         ,  50,52.000,   7, 8.600,01/01/2002,13:59:00,Köln/Bonn                                ,   92,0
EDCK         ,  51,43.400,  11,56.800,01/01/2002,13:59:00,Köthen                                   ,   93,0
EDTZ         ,  47,41.000,   9, 8.300,01/01/2002,13:59:00,Konstanz                                 ,  397,0
EDGK         ,  51,15.300,   8,52.600,01/01/2002,13:59:00,Korbach                                  ,  390,0
EDLK         ,  51,23.200,   6,35.100,01/01/2002,13:59:00,Krefeld-Egelsberg                        ,   43,0
EDXZ         ,  53,34.100,   8,47.400,01/01/2002,13:59:00,Kührstedt-Bederkesa                      ,    8,0
EDQK         ,  50, 8.100,  11,27.500,01/01/2002,13:59:00,Kulmbach                                 ,  506,0
EDBK         ,  52,55.200,  12,25.500,01/01/2002,13:59:00,Kyritz                                   ,   40,0
ETNL         ,  53,55.100,  12,16.700,01/01/2002,13:59:00,Laage                                    ,   42,0
EDRL         ,  49,19.900,   8,12.300,01/01/2002,13:59:00,Lachen-Speyerdorf                        ,  120,0
EDFJ         ,  50, 5.900,   9,53.000,01/01/2002,13:59:00,Lager Hammelburg                         ,  345,0
EDTL         ,  48,22.200,   7,49.700,01/01/2002,13:59:00,Lahr                                     ,  155,0
EDPJ         ,  48,29.800,   9,38.400,01/01/2002,13:59:00,Laichingen                               ,  742,0
EDML         ,  48,30.800,  12, 2.100,01/01/2002,13:59:00,Landshut                                 ,  400,0
EDEL         ,  49,54.500,   7,54.500,01/01/2002,13:59:00,Langenlonsheim                           ,   90,0
EDWL         ,  53,44.600,   7,29.900,01/01/2002,13:59:00,Langeoog                                 ,    2,0
EDOH         ,  50,56.800,  13,15.700,01/01/2002,13:59:00,Langhennersdorf                          ,  386,0
EDBL         ,  51,14.800,  11,41.600,01/01/2002,13:59:00,Laucha                                   ,  225,0
EDHU         ,  53,12.400,   9,34.400,01/01/2002,13:59:00,Lauenbrück                               ,   30,0
EDQI         ,  49,36.300,  11,17.000,01/01/2002,13:59:00,Lauf-Lillinghof                          ,  545,0
EDFT         ,  50,41.000,   9,24.600,01/01/2002,13:59:00,Lauterbach                               ,  369,0
EDXK         ,  54,47.400,   8,57.700,01/01/2002,13:59:00,Leck                                     ,    7,0
EDWF         ,  53,16.300,   7,26.600,01/01/2002,13:59:00,Leer-Papenburg                           ,    1,0
EDDP         ,  51,25.400,  12,14.200,01/01/2002,13:59:00,Leipzig/Halle                            ,  142,0
EDWD         ,  53, 8.600,   8,37.400,01/01/2002,13:59:00,Lemwerder                                ,    6,0
EDNL         ,  47,51.500,  10, 0.900,01/01/2002,13:59:00,Leutkirch-Unterzeil                      ,  640,0
EDKL         ,  51, 1.000,   7, 0.400,01/01/2002,13:59:00,Leverkusen                               ,   48,0
EDQL         ,  50, 8.900,  11, 2.800,01/01/2002,13:59:00,Lichtenfels                              ,  260,0
EDRI         ,  49, 8.500,   8,23.700,01/01/2002,13:59:00,Linkenheim                               ,   99,0
EDHL         ,  53,48.300,  10,43.200,01/01/2002,13:59:00,Lübeck-Blankensee                        ,   16,0
EDHC         ,  53, 0.900,  11, 8.700,01/01/2002,13:59:00,Lüchow-Rehbeck                           ,   15,0
EDHG         ,  53,14.800,  10,27.600,01/01/2002,13:59:00,Lüneburg                                 ,   49,0
EDOJ         ,  52, 8.700,  12,40.200,01/01/2002,13:59:00,Lüsse                                    ,   65,0
EDBM         ,  52, 4.400,  11,37.600,01/01/2002,13:59:00,Magdeburg                                ,   81,0
EDFU         ,  49,41.700,   9,10.900,01/01/2002,13:59:00,Mainbullau                               ,  458,0
EDFZ         ,  49,58.100,   8, 8.900,01/01/2002,13:59:00,Mainz/Finthen                            ,  232,0
EDFM         ,  49,28.400,   8,30.900,01/01/2002,13:59:00,Mannheim City                            ,   94,0
EDFN         ,  50,52.400,   8,48.800,01/01/2002,13:59:00,Marburg-Schönstadt                       ,  254,0
EDLM         ,  51,38.800,   7, 9.800,01/01/2002,13:59:00,Marl-Loemühle                            ,   73,0
EDKZ         ,  51, 6.100,   7,36.000,01/01/2002,13:59:00,Meinerzhagen                             ,  472,0
EDXG         ,  52,12.100,   8,22.700,01/01/2002,13:59:00,Melle-Grönegau                           ,   72,0
EDTM         ,  48, 3.200,   9,22.400,01/01/2002,13:59:00,Mengen-Hohentengen                       ,  554,0
EDVG         ,  51,22.700,   8,58.900,01/01/2002,13:59:00,Mengeringhausen                          ,  362,0
EDAM         ,  51,21.800,  11,56.500,01/01/2002,13:59:00,Merseburg                                ,  104,0
EDKM         ,  51,18.100,   8,14.200,01/01/2002,13:59:00,Meschede-Schüren                         ,  437,0
EDFO         ,  49,40.700,   8,58.400,01/01/2002,13:59:00,Michelstadt/Odenwald                     ,  348,0
EDMN         ,  48, 6.600,  10,31.500,01/01/2002,13:59:00,Mindelheim-Mattsies                      ,  566,0
EDLN         ,  51,13.800,   6,30.300,01/01/2002,13:59:00,Mönchengladbach                          ,   38,0
